,COD_ID
240,4022727
241,4024136
242,4024207
243,4024577
244,4024839
245,4025174
246,4025430
247,4026024
248,4026304
249,4026399
250,4026425
251,4026662
252,4026682
253,4027031
254,4027241
255,4027566
256,4027991
257,4028072
258,4028159
259,4028494
260,4029272
261,4029280
262,4029338
263,4030960
264,4030963
265,4031903
266,4032878
267,4034019
268,4034765
269,4035202
270,4035646
271,4035667
272,4035840
273,4035917
274,4036337
275,4036454
276,4064762
277,4081088
278,4100075
279,4104247
280,4104773
281,4105687
282,4109001
283,4109867
284,4111021
285,4111838
286,4114504
287,4119223
288,4119729
289,4119976
290,4123864
291,4125096
292,4125779
293,4129050
294,4129548
295,4131382
296,4133046
297,4133108
298,4133207
299,4300592
300,4304454
301,4311664
302,4322428
303,4329189
304,4332425
305,4500027
306,4500620
307,4503642
308,4503914
309,4504866
310,4504970
311,4505229
312,4505313
313,4505800
314,4507013
315,4508031
316,4508389
317,4509382
318,4509600
319,4510315
320,4511074
321,4511296
322,4512317
323,4512346
324,4512707
325,4512912
326,4514419
327,4514790
328,4514882
329,4515756
330,4517829
331,5000013
332,6000199
333,7011345
334,7016544
335,7022091
336,7026860
337,7029223
338,7045793
339,7046194
340,7050421
341,7050589
342,7052010
343,7053128
344,7054608
345,7056203
346,7056447
347,7057048
348,7057744
349,7058070
350,7058262
351,7058264
352,7058918
353,7059410
354,7060994
355,7102059
356,7103637
357,7105955
358,7106169
359,7110313
360,7111102
361,7114641
362,7117156
363,7120698
364,7120783
365,7121592
366,7121784
367,7121855
368,7122206
369,7122286
370,7124551
371,7125307
372,7125536
373,7126798
374,7127002
375,7127222
376,7127335
377,7128249
378,7128310
379,7129085
380,7129352
381,7150908
382,7151165
383,7151592
384,7152828
385,7153322
386,7153890
387,7154298
388,7154685
389,7154969
390,7155031
391,7155207
392,7155259
393,7155848
394,7156023
395,7156134
396,7157664
397,7158266
398,7158600
399,7200038
400,7200058
401,7200073
402,7200120
403,7204607
404,7204998
405,7207549
406,7208123
407,7208442
408,7208574
409,7208854
410,7209878
411,7210738
412,7211127
413,7211941
414,7211947
415,7212281
416,7212328
417,7212624
418,7212894
419,7212975
420,7213525
421,7214360
422,7216127
423,7216536
424,7216537
425,7217662
426,7217713
427,7218482
428,7218904
429,7219097
430,7219721
431,7220061
432,7222245
433,7222916
434,7223024
435,7223875
436,7224025
437,7225886
438,7226058
439,7227680
440,7228727
441,7229895
442,7230323
443,7230887
444,7232278
445,7232294
446,7233790
447,7233890
448,7234866
449,7235321
450,7235643
451,7236062
452,7236679
453,7238227
454,7239491
455,7239694
456,7239755
457,7239756
458,7240653
459,7240981
460,7241028
461,7241037
462,7242348
463,7242513
464,7243016
465,7243160
466,7243724
467,7244664
468,7244884
469,7706254
470,8100489
471,8101091
472,8101375
473,8101583
474,8102744
475,8104546
476,9016196
